id,title,product_id,engagement_id,severity_num,cvss_score,age_days,has_cve,has_cwe,tags_count,is_false_positive,is_active,severity_x_active,product_fp_rate,cvss_severity_gap,composite_risk,days_to_fix,fixed_in_30d
127,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
128,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
129,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
130,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
131,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
132,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
133,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
134,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
135,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
136,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
137,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
138,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
139,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
140,webpack@1.0.0: Regular Expression Denial of Service (ReDoS),4,2,2,5.0,5,0,1,2,0,0,0,0.0031,0.0,1.0466666666666666,0,1
141,webpack@1.0.0: Code Injection,4,2,3,6.8,5,0,1,2,0,0,0,0.0031,0.28,1.4906666666666668,0,1
142,webpack@1.0.0: Prototype Pollution,4,2,2,6.5,5,0,1,2,0,0,0,0.0031,0.6,1.1666666666666665,0,1
143,webpack@1.0.0: Directory Traversal,4,2,3,7.5,5,0,1,2,0,1,3,0.0031,0.0,1.5466666666666666,0,1
144,webpack@1.0.0: Regular Expression Denial of Service (ReDoS),4,2,3,7.1,5,0,1,2,0,1,3,0.0031,0.16,1.5146666666666666,0,1
145,webpack@1.0.0: Allocation of Resources Without Limits or Throttling,4,2,2,3.5,5,0,1,1,0,1,2,0.0031,0.6,0.9066666666666666,0,1
146,webpack@1.0.0: Allocation of Resources Without Limits or Throttling,4,2,2,3.5,5,0,1,1,0,1,2,0.0031,0.6,0.9066666666666666,0,1
147,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
148,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
149,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
150,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
151,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
152,Path-Traversal,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
153,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
154,XSS-Reflected-Basic,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
155,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
156,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
