id,title,product_id,engagement_id,severity_num,cvss_score,age_days,has_cve,has_cwe,tags_count,is_false_positive,is_active,tag_urgent,tag_in_production,tag_sensitive,tag_external,severity_x_active,product_fp_rate,cvss_severity_gap,cvss_x_severity,cvss_x_has_cve,severity_x_urgent,age_x_cvss,cvss_score_norm,severity_norm,age_days_norm,tags_count_norm,cvss_severity_gap_norm,composite_risk,risk_score,risk_class,days_to_fix
101,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
102,Path-Traversal,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
103,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
104,XSS-Reflected-Basic,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
105,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
106,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
107,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
108,XSS-Reflected-Basic,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
109,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
110,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
111,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
112,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
113,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
114,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
115,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
116,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
117,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
118,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
119,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
120,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
121,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
122,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
123,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
124,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
125,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
126,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
127,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
128,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
129,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
130,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
131,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
132,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
133,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
134,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
135,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
136,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
137,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
138,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
139,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
140,webpack@1.0.0: Regular Expression Denial of Service (ReDoS),4,2,2,5.0,12,0,1,2,0,0,0,0,0,0,0,0.0008,0.0,10.0,0.0,0,60.0,0.5747,0.5,1.0,0.5,0.0,5.381,5.381,2,0
141,webpack@1.0.0: Code Injection,4,2,3,6.8,12,0,1,2,0,0,0,0,0,0,0,0.0008,0.28,20.4,0.0,0,78.0,0.7816,0.75,1.0,0.5,0.0933,7.713,7.713,3,0
142,webpack@1.0.0: Prototype Pollution,4,2,2,6.5,12,0,1,2,0,0,0,0,0,0,0,0.0008,0.6,13.0,0.0,0,78.0,0.7471,0.5,1.0,0.5,0.2,5.956,5.956,2,0
143,webpack@1.0.0: Directory Traversal,4,2,3,7.5,12,0,1,2,0,0,0,0,0,0,0,0.0008,0.0,22.5,0.0,0,78.0,0.8621,0.75,1.0,0.5,0.0,7.981,7.981,3,0
144,webpack@1.0.0: Regular Expression Denial of Service (ReDoS),4,2,3,7.1,12,0,1,2,0,0,0,0,0,0,0,0.0008,0.16,21.299999999999997,0.0,0,78.0,0.8161,0.75,1.0,0.5,0.0533,7.827,7.827,3,0
145,webpack@1.0.0: Allocation of Resources Without Limits or Throttling,4,2,2,3.5,12,0,1,1,0,0,0,0,0,0,0,0.0008,0.6,7.0,0.0,0,42.0,0.4023,0.5,1.0,0.25,0.2,4.752,4.752,2,0
146,webpack@1.0.0: Allocation of Resources Without Limits or Throttling,4,2,2,3.5,12,0,1,1,0,0,0,0,0,0,0,0.0008,0.6,7.0,0.0,0,42.0,0.4023,0.5,1.0,0.25,0.2,4.752,4.752,2,0
147,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
148,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
149,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
150,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
151,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
152,Path-Traversal,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
153,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
154,XSS-Reflected-Basic,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
155,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
156,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
157,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
158,XSS-Reflected-Basic,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
159,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
160,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
161,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
162,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
163,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
164,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
165,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
166,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
167,No-Console-Log,4,2,2,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,2.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.0,0.6667,3.356,3.356,1,0
168,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
169,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
170,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
171,SQL-Injection-Template,4,2,3,0.0,12,0,1,0,0,0,0,0,0,0,0,0.0008,3.0,0.0,0.0,0,0.0,0.0,0.75,1.0,0.0,1.0,4.998,4.998,2,0
